Namespace(fusion_method='intermediate', hypes_yaml='/space/chuhz/workspace/v2x_object/Where2comm/opencood/hypes_yaml/dair-v2x/dair_where2comm_max_multiscale_resnet_logits_fuse3d_da_KL_0.2_add_occlusion_2.yaml', model_dir='')
Dataset Building
Creating Model
Training start
learning rate 0.002000
/space/chuhz/software/anaconda3/envs/Where2comm/lib/python3.7/site-packages/mmcv/__init__.py:21: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  'On January 1, 2023, MMCV will release v2.0.0, in which it will remove '
[epoch 0][56/801], || Loss: 5.57 ||total: 2.12 | reg: 1.22 | conf: 0.91 | total_v: 1.94 | reg_v: 1.13 | conf_v: 0.81 | total_i: 1.51 | reg_i: 0.83 | conf_i: 0.68 | 
[epoch 0][57/801], || Loss: 5.10 ||total: 1.91 | reg: 1.20 | conf: 0.71 | total_v: 1.87 | reg_v: 1.25 | conf_v: 0.62 | total_i: 1.31 | reg_i: 0.76 | conf_i: 0.56 | 
[epoch 0][58/801], || Loss: 4.69 ||total: 1.76 | reg: 1.13 | conf: 0.63 | total_v: 1.74 | reg_v: 1.12 | conf_v: 0.62 | total_i: 1.19 | reg_i: 0.64 | conf_i: 0.55 | 
[epoch 0][59/801], || Loss: 4.79 ||total: 1.71 | reg: 1.09 | conf: 0.62 | total_v: 1.79 | reg_v: 1.09 | conf_v: 0.70 | total_i: 1.29 | reg_i: 0.73 | conf_i: 0.56 | 
[epoch 0][60/801], || Loss: 5.95 ||total: 2.39 | reg: 1.50 | conf: 0.89 | total_v: 2.13 | reg_v: 1.44 | conf_v: 0.68 | total_i: 1.43 | reg_i: 0.75 | conf_i: 0.68 | 
[epoch 0][61/801], || Loss: 5.06 ||total: 1.96 | reg: 1.28 | conf: 0.67 | total_v: 1.92 | reg_v: 1.29 | conf_v: 0.63 | total_i: 1.19 | reg_i: 0.59 | conf_i: 0.59 | 
[epoch 0][62/801], || Loss: 4.96 ||total: 1.84 | reg: 1.13 | conf: 0.71 | total_v: 1.80 | reg_v: 1.13 | conf_v: 0.67 | total_i: 1.32 | reg_i: 0.82 | conf_i: 0.50 | 
[epoch 0][63/801], || Loss: 4.79 ||total: 1.87 | reg: 1.21 | conf: 0.66 | total_v: 1.75 | reg_v: 1.17 | conf_v: 0.58 | total_i: 1.17 | reg_i: 0.71 | conf_i: 0.46 | 
[epoch 0][64/801], || Loss: 5.24 ||total: 1.87 | reg: 1.24 | conf: 0.63 | total_v: 2.03 | reg_v: 1.33 | conf_v: 0.70 | total_i: 1.34 | reg_i: 0.81 | conf_i: 0.53 | 
[epoch 0][65/801], || Loss: 4.94 ||total: 1.83 | reg: 1.16 | conf: 0.67 | total_v: 1.86 | reg_v: 1.14 | conf_v: 0.72 | total_i: 1.25 | reg_i: 0.79 | conf_i: 0.46 | 
[epoch 0][66/801], || Loss: 4.59 ||total: 1.59 | reg: 1.01 | conf: 0.58 | total_v: 1.83 | reg_v: 1.16 | conf_v: 0.67 | total_i: 1.18 | reg_i: 0.73 | conf_i: 0.45 | 
[epoch 0][67/801], || Loss: 4.88 ||total: 1.82 | reg: 1.26 | conf: 0.56 | total_v: 1.95 | reg_v: 1.34 | conf_v: 0.61 | total_i: 1.10 | reg_i: 0.68 | conf_i: 0.43 | 
[epoch 0][68/801], || Loss: 4.18 ||total: 1.74 | reg: 0.95 | conf: 0.79 | total_v: 1.44 | reg_v: 0.85 | conf_v: 0.59 | total_i: 0.99 | reg_i: 0.56 | conf_i: 0.43 | 
[epoch 0][69/801], || Loss: 4.66 ||total: 1.84 | reg: 1.15 | conf: 0.69 | total_v: 1.72 | reg_v: 1.14 | conf_v: 0.58 | total_i: 1.09 | reg_i: 0.58 | conf_i: 0.51 | 
[epoch 0][70/801], || Loss: 4.65 ||total: 1.76 | reg: 1.07 | conf: 0.68 | total_v: 1.62 | reg_v: 1.06 | conf_v: 0.56 | total_i: 1.27 | reg_i: 0.75 | conf_i: 0.52 | 
[epoch 0][71/801], || Loss: 5.01 ||total: 1.91 | reg: 1.14 | conf: 0.77 | total_v: 1.72 | reg_v: 1.16 | conf_v: 0.56 | total_i: 1.37 | reg_i: 0.64 | conf_i: 0.73 | 
[epoch 0][72/801], || Loss: 5.64 ||total: 1.96 | reg: 1.36 | conf: 0.60 | total_v: 2.15 | reg_v: 1.43 | conf_v: 0.73 | total_i: 1.53 | reg_i: 0.60 | conf_i: 0.93 | 
[epoch 0][73/801], || Loss: 4.10 ||total: 1.56 | reg: 1.00 | conf: 0.55 | total_v: 1.57 | reg_v: 1.00 | conf_v: 0.57 | total_i: 0.97 | reg_i: 0.53 | conf_i: 0.44 | 
[epoch 0][74/801], || Loss: 4.46 ||total: 1.71 | reg: 1.03 | conf: 0.69 | total_v: 1.62 | reg_v: 1.02 | conf_v: 0.60 | total_i: 1.13 | reg_i: 0.64 | conf_i: 0.49 | 
[epoch 0][75/801], || Loss: 4.59 ||total: 1.67 | reg: 1.10 | conf: 0.57 | total_v: 1.76 | reg_v: 1.13 | conf_v: 0.63 | total_i: 1.16 | reg_i: 0.71 | conf_i: 0.46 | 
[epoch 0][76/801], || Loss: 4.68 ||total: 1.69 | reg: 0.97 | conf: 0.71 | total_v: 1.56 | reg_v: 0.92 | conf_v: 0.64 | total_i: 1.43 | reg_i: 0.86 | conf_i: 0.57 | 
[epoch 0][77/801], || Loss: 4.19 ||total: 1.57 | reg: 0.92 | conf: 0.65 | total_v: 1.51 | reg_v: 0.85 | conf_v: 0.65 | total_i: 1.11 | reg_i: 0.57 | conf_i: 0.54 | 
[epoch 0][78/801], || Loss: 4.85 ||total: 1.87 | reg: 1.10 | conf: 0.77 | total_v: 1.68 | reg_v: 0.97 | conf_v: 0.71 | total_i: 1.30 | reg_i: 0.65 | conf_i: 0.65 | 
[epoch 0][79/801], || Loss: 4.49 ||total: 1.76 | reg: 1.11 | conf: 0.65 | total_v: 1.65 | reg_v: 1.09 | conf_v: 0.57 | total_i: 1.07 | reg_i: 0.66 | conf_i: 0.42 | 
[epoch 0][80/801], || Loss: 4.37 ||total: 1.53 | reg: 1.04 | conf: 0.49 | total_v: 1.79 | reg_v: 1.20 | conf_v: 0.59 | total_i: 1.06 | reg_i: 0.61 | conf_i: 0.45 | 
[epoch 0][81/801], || Loss: 4.23 ||total: 1.55 | reg: 1.01 | conf: 0.54 | total_v: 1.68 | reg_v: 1.08 | conf_v: 0.60 | total_i: 1.00 | reg_i: 0.56 | conf_i: 0.44 | 
[epoch 0][82/801], || Loss: 4.64 ||total: 1.71 | reg: 1.17 | conf: 0.54 | total_v: 1.88 | reg_v: 1.22 | conf_v: 0.66 | total_i: 1.05 | reg_i: 0.63 | conf_i: 0.41 | 
[epoch 0][83/801], || Loss: 4.75 ||total: 1.82 | reg: 1.08 | conf: 0.74 | total_v: 1.85 | reg_v: 1.06 | conf_v: 0.79 | total_i: 1.08 | reg_i: 0.58 | conf_i: 0.50 | 
[epoch 0][84/801], || Loss: 4.25 ||total: 1.63 | reg: 1.13 | conf: 0.51 | total_v: 1.54 | reg_v: 1.05 | conf_v: 0.48 | total_i: 1.08 | reg_i: 0.63 | conf_i: 0.45 | 
[epoch 0][85/801], || Loss: 4.97 ||total: 1.94 | reg: 1.32 | conf: 0.62 | total_v: 2.02 | reg_v: 1.37 | conf_v: 0.65 | total_i: 1.00 | reg_i: 0.59 | conf_i: 0.42 | 
[epoch 0][86/801], || Loss: 5.16 ||total: 1.83 | reg: 1.25 | conf: 0.58 | total_v: 2.08 | reg_v: 1.52 | conf_v: 0.56 | total_i: 1.25 | reg_i: 0.85 | conf_i: 0.40 | 
[epoch 0][87/801], || Loss: 3.53 ||total: 1.31 | reg: 0.73 | conf: 0.59 | total_v: 1.26 | reg_v: 0.69 | conf_v: 0.57 | total_i: 0.96 | reg_i: 0.52 | conf_i: 0.44 | 
[epoch 0][88/801], || Loss: 3.98 ||total: 1.48 | reg: 0.92 | conf: 0.57 | total_v: 1.44 | reg_v: 0.87 | conf_v: 0.57 | total_i: 1.06 | reg_i: 0.65 | conf_i: 0.41 | 
[epoch 0][89/801], || Loss: 5.53 ||total: 1.95 | reg: 1.34 | conf: 0.62 | total_v: 2.33 | reg_v: 1.70 | conf_v: 0.63 | total_i: 1.25 | reg_i: 0.82 | conf_i: 0.43 | 
